Sun May 20 14:14:51 BRT 2018,@krzysiek_1996 @Maciekmini Gdybym miał bliźniaka jednojajowego to bym mu ufał w 100%
Sun May 20 13:40:53 BRT 2018,UFAL/Agreste; Capim; Cohab Nova; Cohab 
Sun May 20 13:33:38 BRT 2018,[Scicast] #253: Machine Learning via @PodcastAddict 
Sun May 20 13:04:40 BRT 2018,@armandobs14 Muito obrigado.
Sun May 20 12:36:12 BRT 2018,@cunhaluscas @skytaIk @bdliargz Então ótimo, se bem que a ufal é meio longe daqui também kkkkk
Sun May 20 12:35:03 BRT 2018,@embucete @skytaIk @bdliargz mas eu vou estudar na ufal aí vou viver em Maceió akakkdkdkdk
Sun May 20 12:33:54 BRT 2018,@kreacherl Siiiiiiim... Ainda bem q o panelão de 3L sempre dura mto, aí dá pra comer no almoço, jantar, lanche das… 
Sun May 20 11:52:57 BRT 2018,@marcos_ufal  acredito que você vai amar esse grupo do telegram 
Sun May 20 11:50:18 BRT 2018,Eu devia tá estudando, mas tô lendo plano de curso e resoluções da UFAL pra ferrar com a professora caso ela me reprove por falta, é isto
Sun May 20 11:49:32 BRT 2018,@marcos_ufal @NetflixBrasil É como CPF pessoal e intransferível ;)
Sun May 20 11:48:57 BRT 2018,@marcos_ufal  
Sun May 20 11:31:58 BRT 2018,@NetflixBrasil @armandobs14
Sun May 20 11:31:57 BRT 2018,STAREI LINDA E BELISSIMA EM NOVEMBRO NA UFALME SEGURA SUAS KENGAS
Sun May 20 11:14:17 BRT 2018,@Tec_Mundo @armandobs14
Sun May 20 10:32:16 BRT 2018,Só agora que percebi que o adesivo do NUbank tem cimetria circular. 
Sun May 20 08:12:53 BRT 2018,@BaharSelena7 @sukookie07 @onesonyeondan @tommofthemmoo Armyler ve directionerlar arasında çok saçma bir atışma sür… 
Sun May 20 05:54:46 BRT 2018,@slanurcnsever Daha nerene büyücen evladım. Ufal da cebime gir 😂
Sun May 20 05:35:37 BRT 2018,@Z_Zasania @LeszekMiller Tym Cenckiewiczom i całemu IPNowi to tak jakoś bym nie ufał zbytnio odkąd tacy jak tatuś M… 
Sat May 19 23:35:52 BRT 2018,Estou tao feliz, estou sem ter textos obrigatório da UFAL pra ler kkkkkk. Isso é love, isso é life
Sat May 19 21:24:21 BRT 2018,mentira eu qro msm eh uma vaga na ufal to poco me fudendo pra maxo @ufal chama a gente
Sat May 19 18:49:47 BRT 2018,@Gutenberg1907 Sen de ufal cebime gir kitapsız
Sat May 19 18:19:35 BRT 2018,eu tô tão sem esperança me sabotando sempre que o desespero tá vindo de ter feito essa escolha de estudar em casa t… 
Sat May 19 16:53:44 BRT 2018,@wPolityce_pl Wydaje mi się że przegramy tą sprawę. Przegrywamy z ue i z izraelem. Coraz mniej regionów przychylnyc… 
Sat May 19 14:15:32 BRT 2018,Eu achei que umas 10h da manhã eu já estaria em casa. Mas a Ufal só come meu cu, daí cheguei agora. EU PRECISO DORMIR!
Sat May 19 13:41:50 BRT 2018,Pode-se dizer que ja estou de ferias da UFAL e como as aulas so voltará dia 18 de junho eu terei um mes de ferias e nao so 15 dias 😍
Sat May 19 13:40:12 BRT 2018,A nota da AB2 do professor de produção de texto em lingua portuguesa saiu no sistema estou tao feliz❤UFAL estou me livrando de vc aos poucos
Sat May 19 10:59:11 BRT 2018,La mise à disposition d’un immeuble par la Marine Nationale pour accueillir des mineurs isolés est une très bonne i… 
Sat May 19 09:40:55 BRT 2018,@anasemjulha eu nunca mais vou nas quintas para ufal
Sat May 19 09:24:54 BRT 2018,Tristeza de verdade é a UFAL dia de sábado.
Sat May 19 08:56:58 BRT 2018,@FatimeKaya14 Ufal da cebime gir 😅😅
Sat May 19 08:20:11 BRT 2018,@ZKedzierzyns @JanuszJasinski1 @blancikBE @marius_z_ @UkaszKremer @mickoz80 @ifalmeida @basket_zg @Anwil_official… 
Sat May 19 07:03:16 BRT 2018,confira: 
Sat May 19 05:26:42 BRT 2018,@olddirtyjuliet dalej bym nie ufal w Tribute bandy Muse przed uslyszeniem
Sat May 19 02:52:47 BRT 2018,O que dizer de um jornal produzido totalmente por nós, alunos de jornalismo???Resultado excelente!!!A caminho do… 
Sat May 19 02:38:18 BRT 2018,@Tec_Mundo @armandobs14
Sat May 19 00:58:49 BRT 2018,Meu irmão, que semana passada essa que passou hein?! A Ufal acabando comigo, e os resultados talvez nem sejam tão b… 
Sat May 19 00:56:17 BRT 2018,Ufal 
Sat May 19 00:44:17 BRT 2018,Todo dia o mesmo Vinícius correndo atrás do mesmo pontal ufal 
Sat May 19 00:21:11 BRT 2018,Reeducando tem artigo científico aprovado na UfalClique e saiba mais. 
Fri May 18 22:40:37 BRT 2018,Minha mãe viajando e precisando p virar com a ufal, meu irmão, ajeitar a casa e fazer comida. Estou enlouquecendo 😓😓
Fri May 18 22:28:26 BRT 2018,Hoje eu fui à Ufal destruídissimo, mais fedido que meus fachorros
Fri May 18 21:45:06 BRT 2018,Final de período, quando a matéria está top mas a professora ainda quer mais um pouco... 😁😁😁 Então vamos lá, termin… 
Fri May 18 21:28:03 BRT 2018,@bluecoloredboy cheguei da ufal 16hrs e dormi até agora foi ótimo
Fri May 18 20:42:02 BRT 2018,de todos os substitutos possiveis a ufal arrumou logo a desgraça de um professor que não da nenhuma satisfação e qu… 
Fri May 18 20:08:12 BRT 2018,a cada 10 stories que abro 11 são sobre o dce da ufal
Fri May 18 19:48:23 BRT 2018,@Gurkan_Guney @disiAsLanI9o5 @GALATASARAY2034 @damletta @emirayse @Muratcelik_1905 @ekeremrah @85tayfun @Soz_Adami… 
Fri May 18 19:19:47 BRT 2018,@jvlixnx Q?? 8 CONTO O SALGADO??? MDS! Aq na UFAL é 3,50 na maioria das lanchonetes
Fri May 18 19:05:24 BRT 2018,@targinonath O curso da UFAL é maravilhoso, amo de paixão
